J2000_name,Julian_date,Q/I_inst,err_Q/I_inst,U/I_inst,err_U/I_inst,Q/I,err_Q/I,U/I,err_U/I,PD[%],err_PD[%],EVPA[deg],err_EVPA[deg]
RBPLJ1542+6129,2457628.3213,-0.007,0.006,-0.157,0.006,-0.011,0.008,-0.156,0.006,15.7,0.6,-47.1,1.1
RBPLJ1542+6129,2457630.3008,-0.017,0.004,-0.136,0.004,-0.021,0.007,-0.135,0.005,13.7,0.5,-49.4,1.0
RBPLJ1542+6129,2457631.2703,-0.023,0.003,-0.132,0.003,-0.026,0.006,-0.131,0.004,13.3,0.4,-50.7,0.9
RBPLJ1542+6129,2457637.2759,-0.013,0.003,-0.073,0.003,-0.015,0.004,-0.072,0.003,7.3,0.3,-50.8,1.3
RBPLJ1548+3511,2457209.3674,0.009,0.007,-0.016,0.007,0.010,0.007,-0.016,0.007,1.9,0.7,-29.6,11.6
RBPLJ1548-2251,2456455.3694,-0.005,0.006,-0.014,0.006,-0.004,0.006,-0.013,0.006,1.4,0.6,-53.2,13.7
RBPLJ1550+0527,2456454.3331,0.047,0.026,-0.043,0.019,0.047,0.026,-0.044,0.019,6.5,2.3,-21.6,11.1
RBPLJ1550+0527,2456470.4150,0.008,0.018,-0.038,0.018,0.008,0.018,-0.038,0.018,3.9,1.8,-39.3,15.3
RBPLJ1551+5806,2456469.4688,0.012,0.003,-0.007,0.003,0.013,0.003,-0.007,0.003,1.5,0.3,-15.1,6.0
RBPLJ1551+5806,2456519.3041,-0.003,0.003,-0.010,0.003,-0.002,0.003,-0.009,0.004,0.9,0.4,-51.3,12.0
RBPLJ1551+5806,2456524.3141,0.007,0.004,0.004,0.004,0.009,0.004,0.004,0.004,1.0,0.4,11.7,15.1
RBPLJ1551+5806,2456527.2736,0.003,0.004,-0.013,0.005,0.004,0.005,-0.012,0.005,1.3,0.5,-35.8,11.3
RBPLJ1551+5806,2456530.2663,0.000,0.004,-0.012,0.004,0.001,0.004,-0.012,0.004,1.2,0.4,-43.6,11.1
RBPLJ1551+5806,2456532.2611,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.004,0.4,0.3,13.6,34.2
RBPLJ1551+5806,2456538.2850,0.007,0.004,-0.011,0.004,0.008,0.004,-0.011,0.004,1.4,0.4,-26.6,8.8
RBPLJ1551+5806,2456541.3054,0.002,0.003,-0.011,0.003,0.003,0.004,-0.011,0.004,1.1,0.4,-36.0,9.8
RBPLJ1551+5806,2456546.3005,0.012,0.004,-0.010,0.004,0.013,0.004,-0.010,0.004,1.6,0.4,-18.6,7.2
RBPLJ1551+5806,2456572.2433,0.007,0.004,-0.009,0.004,0.008,0.004,-0.009,0.004,1.2,0.4,-24.0,9.4
RBPLJ1551+5806,2456587.1952,0.014,0.006,-0.007,0.007,0.015,0.007,-0.007,0.007,1.7,0.7,-12.4,12.6
RBPLJ1551+5806,2456759.5751,0.003,0.004,-0.007,0.004,0.004,0.004,-0.006,0.004,0.8,0.4,-27.4,19.1
RBPLJ1551+5806,2456774.4416,0.016,0.008,-0.010,0.006,0.017,0.008,-0.010,0.006,2.0,0.7,-14.9,11.8
RBPLJ1551+5806,2456776.5423,0.008,0.011,-0.015,0.011,0.009,0.011,-0.015,0.011,1.8,1.1,-29.3,23.3
RBPLJ1551+5806,2456777.5108,0.005,0.009,-0.018,0.009,0.006,0.009,-0.017,0.009,1.8,0.9,-35.5,17.5
RBPLJ1551+5806,2456780.4723,0.002,0.004,-0.003,0.004,0.004,0.004,-0.003,0.004,0.5,0.4,-20.1,34.8
RBPLJ1551+5806,2456793.4911,0.006,0.008,0.004,0.009,0.008,0.008,0.004,0.009,0.8,0.8,13.3,36.3
RBPLJ1551+5806,2456801.4396,-0.001,0.003,-0.014,0.004,0.000,0.004,-0.013,0.004,1.3,0.4,-44.9,8.5
RBPLJ1551+5806,2456805.3874,-0.002,0.007,-0.008,0.006,-0.001,0.007,-0.008,0.007,0.8,0.7,-47.9,32.1
RBPLJ1551+5806,2456810.4488,0.009,0.004,-0.015,0.004,0.010,0.004,-0.015,0.004,1.8,0.4,-27.5,7.2
RBPLJ1551+5806,2456810.4488,0.009,0.004,-0.015,0.004,0.010,0.004,-0.015,0.004,1.8,0.4,-27.5,7.2
RBPLJ1551+5806,2456831.3882,0.000,0.003,-0.006,0.003,0.001,0.003,-0.006,0.003,0.6,0.3,-39.4,20.6
RBPLJ1551+5806,2456848.3711,0.008,0.005,-0.003,0.005,0.010,0.005,-0.003,0.005,1.0,0.5,-9.0,16.1
RBPLJ1551+5806,2456852.3231,0.007,0.003,-0.020,0.004,0.008,0.004,-0.019,0.004,2.1,0.4,-33.9,5.4
RBPLJ1551+5806,2456869.3076,-0.002,0.003,-0.004,0.003,-0.001,0.004,-0.004,0.004,0.4,0.4,-51.6,33.5
RBPLJ1551+5806,2456878.2843,0.000,0.005,-0.005,0.004,0.001,0.005,-0.004,0.004,0.4,0.5,-39.2,39.2
RBPLJ1551+5806,2456885.2987,-0.008,0.003,-0.010,0.003,-0.007,0.004,-0.010,0.004,1.2,0.4,-62.2,9.6
RBPLJ1551+5806,2456902.2462,-0.004,0.004,-0.007,0.003,-0.003,0.004,-0.007,0.004,0.7,0.4,-56.4,17.3
RBPLJ1551+5806,2457151.3156,0.001,0.003,-0.006,0.003,0.002,0.003,-0.005,0.003,0.6,0.3,-34.0,21.4
RBPLJ1551+5806,2457156.3820,0.008,0.002,-0.006,0.002,0.009,0.003,-0.006,0.003,1.1,0.3,-15.9,7.4
RBPLJ1551+5806,2457163.3888,0.003,0.003,-0.010,0.003,0.005,0.004,-0.010,0.003,1.1,0.3,-32.4,9.0
RBPLJ1551+5806,2457168.3672,-0.002,0.004,-0.011,0.004,-0.001,0.005,-0.011,0.004,1.1,0.4,-48.2,11.3
RBPLJ1551+5806,2457176.5016,-0.006,0.003,-0.022,0.003,-0.005,0.004,-0.021,0.004,2.2,0.4,-52.2,4.9
RBPLJ1551+5806,2457193.2941,0.004,0.002,-0.013,0.003,0.005,0.003,-0.013,0.003,1.4,0.3,-34.2,5.9
RBPLJ1551+5806,2457198.3496,-0.001,0.003,-0.011,0.003,0.000,0.003,-0.011,0.003,1.1,0.3,-45.2,8.5
RBPLJ1551+5806,2457207.2933,0.024,0.004,-0.006,0.004,0.025,0.004,-0.006,0.004,2.6,0.4,-7.1,4.6
RBPLJ1551+5806,2457217.3247,0.003,0.003,-0.012,0.003,0.004,0.004,-0.012,0.004,1.3,0.4,-36.3,8.7
RBPLJ1551+5806,2457223.3370,-0.005,0.004,-0.011,0.004,-0.004,0.004,-0.010,0.004,1.1,0.4,-55.3,11.6
RBPLJ1551+5806,2457231.3510,0.001,0.004,-0.022,0.004,0.001,0.004,-0.021,0.004,2.1,0.4,-43.3,5.4
RBPLJ1551+5806,2457234.3397,0.005,0.004,-0.022,0.004,0.005,0.004,-0.022,0.004,2.3,0.4,-38.3,5.5
RBPLJ1551+5806,2457239.3349,0.002,0.004,-0.015,0.004,0.003,0.004,-0.015,0.004,1.5,0.4,-40.0,8.3
RBPLJ1551+5806,2457262.2563,0.007,0.004,-0.003,0.004,0.008,0.004,-0.003,0.004,0.9,0.4,-10.0,14.5
RBPLJ1551+5806,2457265.2590,0.005,0.003,-0.016,0.003,0.006,0.004,-0.016,0.003,1.7,0.3,-34.2,6.0
RBPLJ1553+1256,2456444.4456,0.015,0.009,-0.021,0.009,0.016,0.009,-0.021,0.009,2.6,0.9,-26.7,10.8
RBPLJ1553+1256,2456454.3481,0.013,0.006,-0.007,0.006,0.014,0.006,-0.007,0.006,1.6,0.6,-13.5,11.7
RBPLJ1553+1256,2456486.3395,-0.002,0.004,-0.002,0.003,-0.001,0.004,-0.002,0.003,0.2,0.4,-58.7,51.6
RBPLJ1553+1256,2456489.2926,0.013,0.004,-0.012,0.004,0.014,0.005,-0.012,0.004,1.8,0.5,-20.9,7.3
RBPLJ1553+1256,2456494.2912,-0.007,0.006,0.010,0.005,-0.006,0.006,0.011,0.005,1.2,0.6,59.0,15.2
RBPLJ1553+1256,2456511.2944,0.002,0.004,-0.008,0.004,0.003,0.004,-0.007,0.004,0.8,0.4,-32.6,16.4
RBPLJ1553+1256,2456519.2801,0.010,0.005,-0.005,0.004,0.011,0.005,-0.005,0.004,1.3,0.5,-12.7,12.0
RBPLJ1553+1256,2456523.2655,0.029,0.007,0.010,0.006,0.030,0.007,0.009,0.006,3.2,0.7,8.6,6.2
RBPLJ1553+1256,2456525.2819,0.023,0.006,-0.004,0.006,0.024,0.006,-0.004,0.006,2.5,0.6,-5.2,7.7
RBPLJ1553+1256,2456528.2776,0.017,0.005,-0.006,0.005,0.018,0.006,-0.006,0.005,1.9,0.6,-8.9,8.7
RBPLJ1553+1256,2456531.2666,0.009,0.004,-0.007,0.003,0.010,0.004,-0.007,0.004,1.2,0.4,-18.0,10.2
RBPLJ1553+1256,2456538.2596,0.018,0.006,-0.001,0.005,0.020,0.006,-0.002,0.005,2.0,0.6,-2.2,9.1
RBPLJ1553+1256,2456542.2753,0.004,0.005,-0.001,0.004,0.005,0.005,-0.001,0.005,0.5,0.5,-5.2,35.6
RBPLJ1553+1256,2456547.2542,0.013,0.011,-0.001,0.011,0.014,0.011,-0.002,0.011,1.4,1.1,-3.2,30.1
RBPLJ1553+1256,2456549.2459,0.010,0.005,-0.010,0.005,0.011,0.005,-0.010,0.005,1.5,0.5,-21.6,10.6
RBPLJ1553+1256,2456576.2175,-0.015,0.011,0.012,0.011,-0.013,0.011,0.013,0.011,1.9,1.1,67.0,21.7
RBPLJ1553+1256,2456759.5393,0.003,0.005,-0.007,0.004,0.005,0.005,-0.007,0.004,0.8,0.4,-28.7,17.7
RBPLJ1553+1256,2456774.4694,0.018,0.008,-0.011,0.007,0.019,0.009,-0.011,0.007,2.2,0.8,-14.7,11.8
RBPLJ1553+1256,2456775.5534,0.000,0.069,0.046,0.072,0.003,0.069,0.046,0.072,4.6,7.2,43.3,48.5
RBPLJ1553+1256,2456787.5149,-0.012,0.004,0.001,0.004,-0.010,0.004,0.002,0.004,1.1,0.4,84.6,13.0
RBPLJ1553+1256,2456798.4878,-0.003,0.006,0.001,0.005,-0.001,0.006,0.002,0.005,0.2,0.5,59.8,54.0
RBPLJ1553+1256,2456803.4271,0.014,0.007,-0.008,0.005,0.015,0.007,-0.008,0.005,1.7,0.7,-14.6,12.4
RBPLJ1553+1256,2456804.4892,0.002,0.005,0.003,0.005,0.003,0.005,0.003,0.005,0.5,0.5,23.1,41.8
RBPLJ1553+1256,2456805.4068,0.033,0.016,-0.004,0.015,0.034,0.016,-0.005,0.015,3.5,1.6,-4.1,15.8
RBPLJ1553+1256,2456823.3603,0.010,0.005,-0.010,0.004,0.011,0.005,-0.010,0.004,1.5,0.5,-21.3,10.1
RBPLJ1553+1256,2456846.4184,-0.005,0.011,-0.028,0.011,-0.005,0.011,-0.027,0.011,2.8,1.1,-49.8,12.4
RBPLJ1553+1256,2456851.3493,0.030,0.007,-0.010,0.006,0.031,0.007,-0.011,0.006,3.3,0.7,-9.6,6.4
RBPLJ1553+1256,2456857.3356,-0.001,0.005,-0.005,0.004,0.000,0.005,-0.004,0.004,0.4,0.4,-43.3,38.5
RBPLJ1553+1256,2456870.3520,0.011,0.005,-0.016,0.005,0.012,0.005,-0.016,0.005,2.0,0.5,-26.6,7.2
RBPLJ1553+1256,2456879.2867,0.025,0.008,-0.001,0.007,0.026,0.008,-0.002,0.007,2.6,0.8,-1.7,9.5
RBPLJ1553+1256,2456886.2696,0.004,0.005,-0.001,0.005,0.005,0.006,-0.001,0.005,0.5,0.6,-4.2,39.4
RBPLJ1553+1256,2456900.2574,0.016,0.005,-0.008,0.005,0.017,0.005,-0.008,0.005,1.9,0.5,-13.0,8.4
RBPLJ1553+1256,2456914.2332,-0.006,0.012,-0.007,0.010,-0.004,0.012,-0.007,0.010,0.8,1.1,-62.3,46.0
RBPLJ1553+1256,2457152.3499,0.006,0.004,-0.010,0.004,0.007,0.005,-0.010,0.004,1.2,0.4,-28.5,10.7
RBPLJ1553+1256,2457162.3784,0.013,0.017,-0.027,0.016,0.014,0.018,-0.028,0.016,3.1,1.6,-31.8,17.9
RBPLJ1553+1256,2457164.3657,0.004,0.005,-0.010,0.004,0.005,0.005,-0.010,0.004,1.1,0.4,-32.4,12.9
RBPLJ1553+1256,2457176.5255,0.051,0.007,-0.055,0.007,0.051,0.008,-0.056,0.008,7.5,0.8,-24.0,2.9
RBPLJ1553+1256,2457192.3648,0.009,0.007,-0.030,0.007,0.009,0.008,-0.030,0.007,3.1,0.7,-36.6,6.8
RBPLJ1553+1256,2457199.3312,0.015,0.004,0.000,0.003,0.017,0.004,0.000,0.003,1.7,0.4,0.2,8.0
RBPLJ1553+1256,2457213.3365,0.004,0.005,-0.004,0.004,0.005,0.005,-0.003,0.004,0.6,0.5,-17.3,29.0
RBPLJ1553+1256,2457216.2911,0.029,0.005,-0.003,0.005,0.030,0.005,-0.004,0.005,3.1,0.5,-3.4,4.8
RBPLJ1553+1256,2457222.3480,0.010,0.004,-0.007,0.004,0.011,0.004,-0.007,0.004,1.4,0.4,-16.6,8.8
RBPLJ1553+1256,2457229.3480,0.011,0.005,-0.012,0.005,0.012,0.005,-0.012,0.005,1.7,0.5,-22.2,8.8
RBPLJ1553+1256,2457233.3416,0.021,0.005,-0.013,0.005,0.022,0.005,-0.013,0.005,2.6,0.5,-15.5,5.7
RBPLJ1553+1256,2457237.3194,0.002,0.005,-0.007,0.005,0.003,0.005,-0.007,0.005,0.8,0.5,-31.8,22.4
RBPLJ1553+1256,2457253.3061,0.008,0.005,-0.007,0.005,0.009,0.005,-0.007,0.005,1.1,0.5,-17.4,15.8
RBPLJ1553+1256,2457263.2678,0.014,0.006,-0.013,0.005,0.015,0.006,-0.013,0.005,1.9,0.5,-21.0,8.4
RBPLJ1555+1111,2456444.4296,-0.023,0.002,-0.027,0.002,-0.022,0.002,-0.025,0.002,3.4,0.2,-65.6,1.9
RBPLJ1555+1111,2456446.3741,-0.010,0.004,-0.032,0.003,-0.010,0.004,-0.031,0.004,3.2,0.4,-53.7,3.3
RBPLJ1555+1111,2456454.3890,-0.011,0.005,-0.043,0.005,-0.011,0.005,-0.042,0.005,4.4,0.5,-52.4,3.2
RBPLJ1555+1111,2456487.2766,0.006,0.002,-0.035,0.002,0.006,0.003,-0.035,0.002,3.5,0.3,-40.3,2.0
RBPLJ1555+1111,2456490.3076,0.014,0.003,-0.010,0.003,0.015,0.004,-0.011,0.003,1.8,0.4,-18.0,5.8
RBPLJ1555+1111,2456494.3036,-0.002,0.003,0.004,0.003,0.000,0.003,0.005,0.003,0.5,0.3,45.7,23.4
RBPLJ1555+1111,2456495.2884,0.003,0.004,0.001,0.003,0.004,0.004,0.002,0.003,0.5,0.4,11.0,32.1
RBPLJ1555+1111,2456509.3254,-0.017,0.003,-0.031,0.003,-0.016,0.003,-0.030,0.003,3.4,0.3,-59.3,2.7
RBPLJ1555+1111,2456512.2660,-0.010,0.003,-0.041,0.003,-0.010,0.003,-0.040,0.003,4.1,0.3,-51.9,2.0
RBPLJ1555+1111,2456519.2927,-0.003,0.003,-0.002,0.003,-0.001,0.003,-0.002,0.003,0.2,0.3,-64.6,45.5
RBPLJ1555+1111,2456521.2807,-0.012,0.003,-0.010,0.003,-0.011,0.003,-0.009,0.003,1.4,0.3,-70.6,7.0
RBPLJ1555+1111,2456523.2492,-0.017,0.004,-0.002,0.003,-0.015,0.004,-0.001,0.004,1.5,0.4,-88.3,7.7
RBPLJ1555+1111,2456524.2654,-0.008,0.003,-0.006,0.003,-0.007,0.003,-0.005,0.003,0.9,0.3,-71.1,11.8
RBPLJ1555+1111,2456525.2944,-0.010,0.003,-0.019,0.003,-0.009,0.003,-0.019,0.003,2.1,0.3,-58.0,4.2
RBPLJ1555+1111,2456527.2849,-0.007,0.003,-0.014,0.003,-0.006,0.003,-0.013,0.003,1.5,0.3,-57.4,6.9
RBPLJ1555+1111,2456530.2777,0.023,0.004,-0.012,0.004,0.024,0.004,-0.012,0.004,2.7,0.4,-13.8,4.2
RBPLJ1555+1111,2456537.2659,0.050,0.004,0.014,0.004,0.052,0.004,0.013,0.004,5.3,0.4,6.9,2.1
RBPLJ1555+1111,2456541.2662,0.055,0.003,0.028,0.003,0.058,0.003,0.026,0.004,6.3,0.4,12.1,1.6
RBPLJ1555+1111,2456546.2616,-0.003,0.003,0.038,0.003,0.000,0.003,0.038,0.003,3.8,0.3,45.2,2.0
RBPLJ1555+1111,2456575.1987,0.006,0.003,-0.002,0.003,0.008,0.004,-0.002,0.003,0.8,0.4,-6.5,15.4
RBPLJ1555+1111,2456759.5519,0.015,0.003,-0.074,0.003,0.014,0.004,-0.074,0.003,7.5,0.3,-39.6,1.1
RBPLJ1555+1111,2456764.4884,0.034,0.004,-0.045,0.004,0.034,0.005,-0.046,0.004,5.7,0.4,-26.8,2.2
RBPLJ1555+1111,2456774.4857,0.018,0.003,-0.051,0.003,0.018,0.004,-0.051,0.003,5.4,0.3,-35.4,1.7
RBPLJ1555+1111,2456775.5326,0.025,0.004,-0.054,0.004,0.024,0.005,-0.055,0.004,6.0,0.4,-33.1,2.1
RBPLJ1555+1111,2456778.4746,-0.006,0.003,-0.037,0.003,-0.006,0.003,-0.037,0.003,3.7,0.3,-49.8,2.3
RBPLJ1555+1111,2456787.5301,0.035,0.003,-0.019,0.002,0.036,0.003,-0.020,0.003,4.1,0.3,-14.8,2.1
RBPLJ1555+1111,2456794.4336,-0.041,0.004,0.031,0.004,-0.038,0.004,0.032,0.004,5.0,0.4,69.8,2.5
RBPLJ1555+1111,2456801.4146,-0.027,0.003,0.022,0.003,-0.024,0.004,0.024,0.003,3.4,0.3,67.9,2.9
RBPLJ1555+1111,2456803.4154,-0.028,0.003,-0.004,0.003,-0.026,0.004,-0.002,0.003,2.6,0.4,-87.7,4.1
RBPLJ1555+1111,2456804.3276,-0.025,0.003,0.013,0.003,-0.023,0.004,0.015,0.003,2.8,0.4,74.1,3.8
RBPLJ1555+1111,2456804.5062,-0.026,0.002,0.017,0.003,-0.024,0.003,0.019,0.003,3.0,0.3,71.0,2.8
RBPLJ1555+1111,2456805.2741,-0.016,0.003,0.018,0.003,-0.014,0.003,0.018,0.003,2.3,0.3,63.5,4.0
RBPLJ1555+1111,2456805.4524,-0.010,0.003,0.014,0.003,-0.008,0.004,0.014,0.003,1.6,0.3,59.5,6.3
RBPLJ1555+1111,2456805.4607,-0.023,0.003,0.012,0.003,-0.021,0.003,0.013,0.003,2.5,0.3,73.9,3.9
RBPLJ1555+1111,2456805.5787,-0.008,0.003,0.017,0.004,-0.006,0.004,0.018,0.004,1.9,0.4,54.3,5.9
RBPLJ1555+1111,2456808.4296,-0.039,0.002,0.010,0.002,-0.037,0.003,0.012,0.003,3.9,0.3,81.4,2.0
RBPLJ1555+1111,2456822.3471,-0.021,0.004,0.021,0.003,-0.019,0.004,0.022,0.003,2.9,0.3,65.5,3.5
RBPLJ1555+1111,2456830.3520,-0.023,0.003,0.032,0.002,-0.020,0.003,0.033,0.003,3.9,0.3,60.5,2.2
RBPLJ1555+1111,2456846.4361,-0.030,0.004,-0.020,0.005,-0.030,0.004,-0.018,0.005,3.5,0.5,-74.2,3.7
RBPLJ1555+1111,2456847.3580,-0.024,0.004,-0.016,0.003,-0.024,0.004,-0.015,0.004,2.8,0.4,-74.2,4.0
RBPLJ1555+1111,2456851.3622,-0.041,0.004,-0.017,0.003,-0.040,0.004,-0.015,0.004,4.3,0.4,-79.9,2.8
RBPLJ1555+1111,2456854.2944,-0.029,0.003,-0.038,0.003,-0.029,0.004,-0.037,0.003,4.7,0.4,-64.3,2.2
RBPLJ1555+1111,2456862.2972,-0.045,0.003,0.002,0.003,-0.044,0.003,0.004,0.003,4.4,0.3,87.4,2.1
RBPLJ1555+1111,2456869.2913,-0.013,0.003,-0.007,0.002,-0.012,0.003,-0.006,0.003,1.4,0.3,-76.8,6.4
RBPLJ1555+1111,2456873.3113,-0.005,0.003,-0.019,0.003,-0.005,0.003,-0.019,0.003,1.9,0.3,-52.0,4.4
RBPLJ1555+1111,2456879.2976,0.011,0.003,0.025,0.003,0.014,0.003,0.025,0.003,2.8,0.3,30.6,3.2
RBPLJ1555+1111,2456881.3218,-0.008,0.003,0.034,0.003,-0.005,0.004,0.035,0.003,3.5,0.3,49.0,2.5
RBPLJ1555+1111,2456883.2677,0.004,0.003,0.025,0.002,0.006,0.003,0.025,0.003,2.6,0.3,38.0,3.0
RBPLJ1555+1111,2456885.3097,0.022,0.003,0.007,0.003,0.023,0.003,0.007,0.003,2.4,0.3,7.9,3.6
RBPLJ1555+1111,2456897.2666,0.016,0.003,0.043,0.003,0.019,0.004,0.043,0.003,4.7,0.3,33.2,2.1
RBPLJ1555+1111,2456898.2441,0.011,0.003,0.048,0.003,0.014,0.004,0.048,0.003,5.0,0.3,36.9,1.8
RBPLJ1555+1111,2456914.2270,-0.028,0.003,0.092,0.003,-0.023,0.005,0.094,0.003,9.6,0.3,52.0,0.9
RBPLJ1555+1111,2457150.4719,0.046,0.003,-0.027,0.003,0.046,0.004,-0.028,0.003,5.4,0.4,-15.8,1.9
RBPLJ1555+1111,2457153.3477,0.038,0.004,-0.019,0.003,0.039,0.004,-0.020,0.004,4.3,0.4,-13.8,2.5
RBPLJ1555+1111,2457162.3937,0.045,0.006,-0.008,0.005,0.046,0.006,-0.009,0.006,4.7,0.6,-5.8,3.9
RBPLJ1555+1111,2457164.3806,0.047,0.002,-0.001,0.002,0.049,0.002,-0.003,0.003,4.9,0.2,-1.5,1.4
RBPLJ1555+1111,2457176.5424,0.025,0.003,-0.001,0.003,0.027,0.003,-0.002,0.003,2.7,0.3,-2.2,3.6
RBPLJ1555+1111,2457193.3951,0.039,0.003,0.033,0.003,0.042,0.004,0.032,0.004,5.3,0.4,18.4,1.9
RBPLJ1555+1111,2457199.3441,0.041,0.002,-0.038,0.002,0.041,0.003,-0.039,0.003,5.6,0.3,-21.8,1.5
RBPLJ1555+1111,2457208.3094,0.030,0.003,-0.029,0.003,0.030,0.004,-0.030,0.003,4.2,0.4,-22.4,2.4
RBPLJ1555+1111,2457214.2748,0.017,0.003,-0.044,0.003,0.017,0.004,-0.044,0.003,4.7,0.3,-34.6,1.9
RBPLJ1555+1111,2457216.3038,0.021,0.004,-0.013,0.003,0.022,0.004,-0.014,0.003,2.5,0.4,-16.1,4.3
RBPLJ1555+1111,2457218.2767,-0.009,0.003,-0.013,0.003,-0.008,0.003,-0.012,0.003,1.4,0.3,-61.5,6.3
RBPLJ1555+1111,2457224.3353,-0.009,0.003,-0.021,0.002,-0.008,0.003,-0.021,0.003,2.2,0.3,-56.0,3.4
RBPLJ1555+1111,2457232.2750,-0.006,0.002,-0.041,0.002,-0.006,0.003,-0.040,0.002,4.1,0.2,-49.2,1.6
RBPLJ1555+1111,2457233.2631,-0.001,0.004,-0.055,0.003,-0.002,0.005,-0.054,0.003,5.4,0.3,-46.0,1.7
RBPLJ1555+1111,2457234.2711,0.017,0.002,-0.052,0.002,0.017,0.003,-0.053,0.002,5.5,0.3,-36.1,1.3
RBPLJ1555+1111,2457235.2724,0.032,0.003,-0.053,0.002,0.032,0.004,-0.054,0.003,6.2,0.3,-29.6,1.4
RBPLJ1555+1111,2457236.2714,0.035,0.003,-0.038,0.003,0.035,0.004,-0.039,0.003,5.2,0.3,-24.0,1.9
RBPLJ1555+1111,2457237.2590,0.042,0.002,-0.027,0.002,0.042,0.003,-0.029,0.003,5.1,0.3,-17.0,1.6
RBPLJ1555+1111,2457238.2667,0.031,0.003,-0.016,0.002,0.032,0.003,-0.017,0.003,3.6,0.3,-13.9,2.4
RBPLJ1555+1111,2457239.3087,0.032,0.003,-0.017,0.002,0.033,0.003,-0.018,0.003,3.8,0.3,-13.9,2.5
RBPLJ1555+1111,2457240.2747,0.024,0.003,-0.007,0.002,0.025,0.003,-0.007,0.003,2.6,0.3,-8.1,3.2
RBPLJ1555+1111,2457245.2988,0.000,0.003,-0.024,0.003,0.000,0.003,-0.023,0.003,2.3,0.3,-44.6,3.4
RBPLJ1555+1111,2457251.2618,0.028,0.003,-0.018,0.002,0.029,0.003,-0.019,0.003,3.5,0.3,-16.8,2.6
RBPLJ1555+1111,2457252.2909,0.032,0.003,-0.020,0.003,0.033,0.004,-0.021,0.003,3.9,0.4,-16.5,2.7
RBPLJ1555+1111,2457254.2549,0.040,0.003,-0.014,0.002,0.041,0.003,-0.015,0.003,4.4,0.3,-10.4,2.0
RBPLJ1555+1111,2457255.2825,0.039,0.003,-0.012,0.002,0.040,0.003,-0.013,0.003,4.2,0.3,-9.2,2.1
RBPLJ1555+1111,2457260.2419,0.073,0.003,-0.004,0.003,0.074,0.003,-0.007,0.004,7.4,0.3,-2.7,1.3
RBPLJ1555+1111,2457262.2456,0.041,0.003,-0.010,0.002,0.042,0.003,-0.011,0.003,4.3,0.3,-7.4,2.1
RBPLJ1555+1111,2457263.2509,0.060,0.002,-0.023,0.002,0.061,0.003,-0.025,0.003,6.6,0.3,-11.3,1.2
RBPLJ1555+1111,2457264.2745,0.076,0.002,-0.037,0.002,0.076,0.003,-0.040,0.004,8.5,0.3,-13.8,1.1
RBPLJ1555+1111,2457265.2439,0.072,0.003,-0.037,0.002,0.072,0.003,-0.039,0.004,8.2,0.3,-14.3,1.2
RBPLJ1555+1111,2457266.2372,0.060,0.002,-0.030,0.002,0.061,0.003,-0.032,0.003,6.8,0.3,-13.8,1.3
RBPLJ1555+1111,2457518.4088,-0.027,0.003,-0.032,0.003,-0.027,0.003,-0.031,0.003,4.1,0.3,-65.3,2.2
RBPLJ1555+1111,2457588.3283,0.042,0.003,-0.008,0.003,0.043,0.004,-0.009,0.004,4.4,0.4,-5.8,2.3
RBPLJ1555+1111,2457597.2684,-0.004,0.003,-0.005,0.003,-0.003,0.003,-0.004,0.003,0.5,0.3,-63.7,22.9
RBPLJ1555+1111,2457597.3265,-0.007,0.003,0.003,0.003,-0.006,0.003,0.003,0.003,0.7,0.3,74.5,17.0
RBPLJ1555+1111,2457598.2872,-0.007,0.005,0.009,0.004,-0.005,0.005,0.010,0.004,1.1,0.5,58.5,13.6
RBPLJ1555+1111,2457599.2984,0.001,0.003,0.007,0.003,0.003,0.004,0.007,0.003,0.8,0.3,34.8,13.1
RBPLJ1555+1111,2457600.3062,0.026,0.003,-0.007,0.003,0.027,0.003,-0.008,0.003,2.9,0.3,-7.8,3.3
RBPLJ1555+1111,2457601.2891,0.028,0.003,-0.012,0.002,0.029,0.003,-0.012,0.003,3.1,0.3,-11.5,2.7
RBPLJ1555+1111,2457602.2802,0.035,0.003,-0.026,0.002,0.036,0.003,-0.027,0.003,4.5,0.3,-18.4,2.1
RBPLJ1555+1111,2457603.2794,0.049,0.003,-0.045,0.002,0.049,0.004,-0.046,0.003,6.7,0.3,-21.6,1.5
RBPLJ1555+1111,2457604.2770,0.057,0.003,-0.049,0.003,0.056,0.004,-0.050,0.004,7.5,0.4,-21.0,1.4
RBPLJ1555+1111,2457604.3487,0.059,0.003,-0.055,0.003,0.058,0.004,-0.057,0.004,8.1,0.4,-22.3,1.4
RBPLJ1555+1111,2457606.2612,0.071,0.003,-0.055,0.003,0.070,0.004,-0.058,0.004,9.1,0.4,-19.8,1.2
RBPLJ1555+1111,2457606.3260,0.072,0.003,-0.058,0.003,0.071,0.004,-0.060,0.004,9.3,0.4,-20.1,1.2
RBPLJ1555+1111,2457607.2708,0.058,0.003,-0.048,0.002,0.058,0.004,-0.050,0.003,7.6,0.3,-20.4,1.3
RBPLJ1555+1111,2457608.3407,0.050,0.002,-0.047,0.002,0.050,0.003,-0.049,0.003,7.0,0.3,-22.2,1.3
